zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
90022,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90023,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90023,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90024,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90024,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90025,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90025,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90026,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90027,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90028,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90029,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90031,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90032,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90033,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90034,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90034,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90034,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90035,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90036,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90037,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90038,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90039,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90040,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90040,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90041,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90042,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90043,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90044,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90045,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90045,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90046,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90047,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90048,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90049,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90049,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90056,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90056,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90057,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90058,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90059,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90061,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90062,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90063,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90064,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90064,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90064,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90065,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90066,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90067,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90068,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90069,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90071,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90073,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90073,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90077,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90077,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90089,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90094,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90095,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90201,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90210,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90211,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90212,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
90220,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90221,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90222,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90230,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90230,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90232,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90232,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90240,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90240,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90241,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90242,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90245,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90247,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90248,6,"TORRANCE_722955",722955,1,"TORRANCE"
90248,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90249,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90250,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90250,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90254,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90255,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90260,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90260,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90262,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90263,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90265,6,"POINT-MUGU_723910",723910,1,"POINT-MUGU"
90265,6,"POINT-MUGU_723910",723910,1,"POINT-MUGU"
90265,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90265,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90266,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90270,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90272,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90272,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90274,6,"TORRANCE_722955",722955,1,"TORRANCE"
90275,6,"TORRANCE_722955",722955,1,"TORRANCE"
90277,6,"TORRANCE_722955",722955,1,"TORRANCE"
90278,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90278,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90280,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90290,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90290,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
90291,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90292,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90293,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90301,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90301,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90302,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90302,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90303,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90304,6,"LOS-ANGELES-INTL_722950",722950,1,"LOS-ANGELES-INTL"
90304,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90305,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90401,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90402,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90403,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90404,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90405,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
90501,6,"TORRANCE_722955",722955,1,"TORRANCE"
90502,6,"TORRANCE_722955",722955,1,"TORRANCE"
90503,6,"TORRANCE_722955",722955,1,"TORRANCE"
90504,6,"TORRANCE_722955",722955,1,"TORRANCE"
90504,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90505,6,"TORRANCE_722955",722955,1,"TORRANCE"
90506,8,"HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD"
90601,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90602,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90603,8,"FULLERTON_722976",722976,1,"FULLERTON"
90603,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90604,8,"FULLERTON_722976",722976,1,"FULLERTON"
90604,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90605,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90606,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90620,8,"FULLERTON_722976",722976,1,"FULLERTON"
90621,8,"FULLERTON_722976",722976,1,"FULLERTON"
90621,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90623,8,"FULLERTON_722976",722976,1,"FULLERTON"
90623,8,"FULLERTON_722976",722976,1,"FULLERTON"
90630,8,"LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS"
90630,8,"LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS"
90631,8,"FULLERTON_722976",722976,1,"FULLERTON"
90631,8,"FULLERTON_722976",722976,1,"FULLERTON"
90631,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90631,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90638,8,"FULLERTON_722976",722976,1,"FULLERTON"
90638,8,"FULLERTON_722976",722976,1,"FULLERTON"
90638,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90638,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90639,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90640,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90650,8,"FULLERTON_722976",722976,1,"FULLERTON"
90650,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90660,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90670,8,"FULLERTON_722976",722976,1,"FULLERTON"
90670,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
90680,6,"TORRANCE_722955",722955,1,"TORRANCE"
90680,8,"LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS"
90701,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90703,8,"FULLERTON_722976",722976,1,"FULLERTON"
90706,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90710,6,"TORRANCE_722955",722955,1,"TORRANCE"
90712,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90713,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90715,8,"LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS"
90716,8,"LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS"
90717,6,"TORRANCE_722955",722955,1,"TORRANCE"
90720,6,"TORRANCE_722955",722955,1,"TORRANCE"
90720,8,"LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS"
90723,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90731,6,"TORRANCE_722955",722955,1,"TORRANCE"
90732,6,"TORRANCE_722955",722955,1,"TORRANCE"
90740,6,"TORRANCE_722955",722955,1,"TORRANCE"
90740,8,"LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS"
90742,6,"TORRANCE_722955",722955,1,"TORRANCE"
90743,6,"TORRANCE_722955",722955,1,"TORRANCE"
90744,6,"TORRANCE_722955",722955,1,"TORRANCE"
90745,6,"TORRANCE_722955",722955,1,"TORRANCE"
90745,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90746,6,"TORRANCE_722955",722955,1,"TORRANCE"
90746,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90747,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90755,6,"TORRANCE_722955",722955,1,"TORRANCE"
90755,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90802,6,"TORRANCE_722955",722955,1,"TORRANCE"
90803,6,"TORRANCE_722955",722955,1,"TORRANCE"
90804,6,"TORRANCE_722955",722955,1,"TORRANCE"
90805,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90806,6,"TORRANCE_722955",722955,1,"TORRANCE"
90806,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90807,6,"TORRANCE_722955",722955,1,"TORRANCE"
90807,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90808,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90810,6,"TORRANCE_722955",722955,1,"TORRANCE"
90810,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90813,6,"TORRANCE_722955",722955,1,"TORRANCE"
90814,6,"TORRANCE_722955",722955,1,"TORRANCE"
90815,6,"TORRANCE_722955",722955,1,"TORRANCE"
90815,8,"LONG-BEACH_722970",722970,1,"LONG-BEACH"
90840,6,"TORRANCE_722955",722955,1,"TORRANCE"
91001,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91001,16,"SANDBERG_723830",723830,1,"SANDBERG"
91006,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91006,16,"SANDBERG_723830",723830,1,"SANDBERG"
91007,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91008,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91008,16,"SANDBERG_723830",723830,1,"SANDBERG"
91010,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91010,16,"SANDBERG_723830",723830,1,"SANDBERG"
91011,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91011,16,"SANDBERG_723830",723830,1,"SANDBERG"
91016,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91016,16,"SANDBERG_723830",723830,1,"SANDBERG"
91020,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91024,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91024,16,"SANDBERG_723830",723830,1,"SANDBERG"
91030,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91040,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91040,16,"SANDBERG_723830",723830,1,"SANDBERG"
91042,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91042,16,"SANDBERG_723830",723830,1,"SANDBERG"
91101,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91103,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91104,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91105,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91106,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91107,16,"SANDBERG_723830",723830,1,"SANDBERG"
91108,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91123,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91201,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91202,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91203,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91204,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91205,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
91206,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91207,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91208,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91214,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91214,16,"SANDBERG_723830",723830,1,"SANDBERG"
91301,6,"CAMARILLO_723926",723926,1,"CAMARILLO"
91301,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91301,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91302,6,"SANTA-MONICA_722885",722885,1,"SANTA-MONICA"
91302,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91303,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91304,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91304,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91306,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91307,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91307,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91311,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91311,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91316,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91320,6,"CAMARILLO_723926",723926,1,"CAMARILLO"
91320,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91321,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91321,16,"SANDBERG_723830",723830,1,"SANDBERG"
91324,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91325,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91326,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91330,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91331,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91335,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91340,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91342,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91342,14,"PALMDALE_723820",723820,1,"PALMDALE"
91342,16,"SANDBERG_723830",723830,1,"SANDBERG"
91343,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91344,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91345,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91350,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91350,16,"SANDBERG_723830",723830,1,"SANDBERG"
91351,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91351,16,"SANDBERG_723830",723830,1,"SANDBERG"
91352,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91354,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91355,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91356,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91360,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91361,6,"CAMARILLO_723926",723926,1,"CAMARILLO"
91361,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91361,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91362,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91362,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91364,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91367,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91371,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91377,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91381,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91384,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91384,16,"SANDBERG_723830",723830,1,"SANDBERG"
91387,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91387,16,"SANDBERG_723830",723830,1,"SANDBERG"
91390,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91390,14,"LANCASTER_723816",723816,1,"LANCASTER"
91390,16,"SANDBERG_723830",723830,1,"SANDBERG"
91401,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91402,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91403,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91405,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91406,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91411,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91423,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91436,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
91501,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91502,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91504,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
91505,9,"BURBANK-GLENDALE_722880",722880,1,"BURBANK-GLENDALE"
